config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
40s_20i,mel_band_high,40,20,4.263049,1.546772,2.756092275287986,0.18875,0.1209251806139946
40s_20i,mel_band_mid,40,20,3.3031614,1.3261918,2.4907098162034953,0.35,0.04256931319832802
20s_5i,mfcc,20,5,0.83100843,0.1628116,5.104079155681148,0.72,-0.2981714606285095
20s_5i,mel_band_low,20,5,4.2524085,1.1898175,3.5739974909245333,0.08,0.2399073839187622
20s_5i,mel_band_high,20,5,4.5724792,1.4887928,3.0712643473509815,0.14,0.1722572296857834
20s_5i,mel_band_mid,20,5,3.4205277,1.1587567,2.951892012775566,0.13,0.1557527482509613
40s_80i,mfcc,40,80,0.80978936,0.19237065,4.209504603714893,0.875625,-0.2821735441684723
40s_80i,mel_band_low,40,80,5.0805078,1.4846723,3.4219701586960616,0.1690625,0.17812219262123108
40s_80i,mel_band_high,40,80,4.083138,1.6220909,2.5172050357702402,0.233125,0.11262794584035873
40s_80i,mel_band_mid,40,80,3.166913,1.3664613,2.3176000434244455,0.3834375,0.03874070569872856
10s_5i,mfcc,10,5,0.8103524,0.18273488,4.434555484775834,0.54,-0.15419378876686096
10s_5i,mel_band_low,10,5,4.6214805,1.2843405,3.5983268172389664,0.02,0.3750723898410797
10s_5i,mel_band_high,10,5,4.060125,1.4531976,2.793922921770688,0.1,0.17475640773773193
10s_5i,mel_band_mid,10,5,3.139661,1.2017512,2.6125693713711184,0.14,0.14204999804496765
80s_80i,mfcc,80,80,0.828513,0.18527825,4.4716988995545215,0.929375,-0.31604158878326416
80s_80i,mel_band_low,80,80,4.7494617,1.4294516,3.3225737609616566,0.29546875,0.08295443654060364
80s_80i,mel_band_high,80,80,4.094214,1.5992883,2.5600207848154275,0.31359375,0.05966100096702576
80s_80i,mel_band_mid,80,80,3.1470637,1.3368376,2.3541088774537013,0.49921875,-0.01684851385653019
80s_20i,mfcc,80,20,0.83932763,0.16917033,4.961405747034195,0.92375,-0.3706478774547577
80s_20i,mel_band_low,80,20,4.7971663,1.374473,3.490183468153845,0.269375,0.08558327704668045
80s_20i,mel_band_high,80,20,4.1740623,1.5043994,2.774568658581274,0.25375,0.0713469386100769
80s_20i,mel_band_mid,80,20,3.2341213,1.2665002,2.553587185126873,0.440625,-0.005349734798073769
10s_40i,mfcc,10,40,0.83298546,0.20371516,4.088951307340445,0.62,-0.1175534799695015
10s_40i,mel_band_low,10,40,4.793921,1.4456408,3.3161195158449464,0.0275,0.4050276279449463
10s_40i,mel_band_high,10,40,3.9036536,1.5883753,2.4576377449191056,0.09,0.21528460085391998
10s_40i,mel_band_mid,10,40,2.917796,1.3640943,2.138997171054141,0.205,0.14565756916999817
80s_60i,mfcc,80,60,0.8318379,0.18185762,4.5740911932487975,0.9245833333333333,-0.31814253330230713
80s_60i,mel_band_low,80,60,4.7573433,1.4192116,3.352100456904439,0.2925,0.0842384472489357
80s_60i,mel_band_high,80,60,4.114114,1.5725933,2.6161316530885115,0.29833333333333334,0.06615379452705383
80s_60i,mel_band_mid,80,60,3.152983,1.3286622,2.3730491309703985,0.48604166666666665,-0.014364022761583328
2s_10i,mfcc,2,10,0.45295155,0.23191877,1.9530527999319744,0.15,0.3212965130805969
2s_10i,mel_band_low,2,10,3.7986865,1.3044572,2.912079927375722,0.0,0.5402923822402954
2s_10i,mel_band_high,2,10,4.8698864,1.6893903,2.8826278396261777,0.0,0.5206487774848938
2s_10i,mel_band_mid,2,10,2.608795,1.3708746,1.9030135521760332,0.0,0.341600239276886
60s_1i,mfcc,60,1,0.91465825,0.0,914658.24842453,0.0,
60s_1i,mel_band_low,60,1,5.2495375,0.0,5249537.467956543,0.0,
60s_1i,mel_band_high,60,1,4.735688,0.0,4735688.209533691,0.0,
60s_1i,mel_band_mid,60,1,4.04008,0.0,4040080.0704956055,0.0,
5s_60i,mfcc,5,60,0.95358956,0.18627438,5.119246360968098,0.4,0.060729559510946274
5s_60i,mel_band_low,5,60,3.5847535,1.228651,2.917631173781003,0.02,0.3964211642742157
5s_60i,mel_band_high,5,60,3.4420114,1.4981552,2.2974982669248836,0.03666666666666667,0.28291600942611694
5s_60i,mel_band_mid,5,60,2.4614484,1.3118607,1.8763017987738606,0.13333333333333333,0.20302757620811462
5s_20i,mfcc,5,20,0.945648,0.18771477,5.03765886237249,0.44,0.051805075258016586
5s_20i,mel_band_low,5,20,3.6564918,1.2743499,2.869297362586269,0.01,0.36962467432022095
5s_20i,mel_band_high,5,20,3.4493783,1.4603555,2.3620110597668744,0.02,0.25508204102516174
5s_20i,mel_band_mid,5,20,2.4855247,1.2701967,1.9568014497696713,0.09,0.19552116096019745
5s_80i,mfcc,5,80,0.94867146,0.19010384,4.990254015352351,0.415,0.04764915630221367
5s_80i,mel_band_low,5,80,3.6930318,1.2611246,2.9283615810753503,0.0225,0.39591363072395325
5s_80i,mel_band_high,5,80,3.4584727,1.5443074,2.2394962289999336,0.0425,0.26873812079429626
5s_80i,mel_band_mid,5,80,2.4386203,1.3334626,1.8287865797977065,0.135,0.1881619095802307
2s_60i,mfcc,2,60,0.36193153,0.20487788,1.766563381133596,0.24166666666666667,0.24883340299129486
2s_60i,mel_band_low,2,60,3.2203202,1.2216297,2.636083165282025,0.0,0.5091629028320312
2s_60i,mel_band_high,2,60,4.1469727,1.6828523,2.464250885425588,0.0,0.48587656021118164
2s_60i,mel_band_mid,2,60,2.1677446,1.446813,1.498288415458097,0.03333333333333333,0.2869611084461212
20s_40i,mfcc,20,40,0.8282368,0.19396153,4.270086672764617,0.78625,-0.20904575288295746
20s_40i,mel_band_low,20,40,4.285015,1.3258636,3.2318647823625137,0.075,0.26639875769615173
20s_40i,mel_band_high,20,40,4.276602,1.622226,2.6362536142132527,0.1475,0.18220138549804688
20s_40i,mel_band_mid,20,40,3.0151694,1.337604,2.254155209274731,0.26875,0.10623686015605927
80s_10i,mfcc,80,10,0.84761965,0.15984645,5.3026784411234615,0.91375,-0.42671191692352295
80s_10i,mel_band_low,80,10,4.8087716,1.348614,3.5657112598703757,0.25125,0.06741151213645935
80s_10i,mel_band_high,80,10,4.228761,1.471694,2.8733951106426447,0.2425,0.06177154555916786
80s_10i,mel_band_mid,80,10,3.30172,1.2542696,2.632382441373383,0.4275,-0.02063947729766369
2s_80i,mfcc,2,80,0.3917135,0.19682634,1.9901376631657324,0.2,0.3003029227256775
2s_80i,mel_band_low,2,80,3.4065073,1.2182143,2.7963097556574446,0.0,0.5307307243347168
2s_80i,mel_band_high,2,80,4.1536202,1.7184416,2.4170840676402867,0.0,0.47995424270629883
2s_80i,mel_band_mid,2,80,2.100417,1.4608526,1.4378010675938726,0.0625,0.2703843116760254
2s_20i,mfcc,2,20,0.39783368,0.21101154,1.885355571047243,0.225,0.28873467445373535
2s_20i,mel_band_low,2,20,3.298633,1.2993088,2.538758006258907,0.0,0.4920435845851898
2s_20i,mel_band_high,2,20,4.2819343,1.692608,2.529783466965158,0.0,0.48165163397789
2s_20i,mel_band_mid,2,20,2.5937085,1.4715,1.7626277156776329,0.025,0.3318563401699066
40s_40i,mfcc,40,40,0.8218686,0.18133935,4.532188139047752,0.85875,-0.29111260175704956
40s_40i,mel_band_low,40,40,5.071108,1.4492941,3.4990167968013077,0.16,0.1798948347568512
40s_40i,mel_band_high,40,40,4.215022,1.5773678,2.6721855621922455,0.201875,0.12297849357128143
40s_40i,mel_band_mid,40,40,3.2177474,1.3524878,2.379130565749589,0.374375,0.04022703692317009
60s_5i,mfcc,60,5,0.8660823,0.1560444,5.55019465623936,0.8866666666666667,-0.4572746753692627
60s_5i,mel_band_low,60,5,5.063239,1.3004917,3.8933237641807144,0.18666666666666668,0.09322362393140793
60s_5i,mel_band_high,60,5,4.3476005,1.3825977,3.144513666662428,0.16666666666666666,0.07658570259809494
60s_5i,mel_band_mid,60,5,3.4821036,1.2329118,2.8242901810096557,0.2633333333333333,-0.006219147238880396
10s_1i,mfcc,10,1,0.9404974,0.0,940497.3983764648,0.0,
10s_1i,mel_band_low,10,1,4.370824,0.0,4370823.860168457,0.0,
10s_1i,mel_band_high,10,1,4.1703553,0.0,4170355.3199768066,0.0,
10s_1i,mel_band_mid,10,1,3.0687907,0.0,3068790.6742095947,0.0,
5s_10i,mfcc,5,10,0.8956168,0.21265677,4.211540662254115,0.4,0.027312032878398895
5s_10i,mel_band_low,5,10,3.6530654,1.2199023,2.994553348560689,0.0,0.38394999504089355
5s_10i,mel_band_high,5,10,3.4208424,1.4390045,2.377226711774717,0.0,0.22411657869815826
5s_10i,mel_band_mid,5,10,2.4598022,1.2398635,1.9839281801885422,0.12,0.20055265724658966
60s_40i,mfcc,60,40,0.8486404,0.17619985,4.8163239043217905,0.8966666666666666,-0.31474700570106506
